easting,northing,Name,Core,sample,transect,strike,dip,Rake1,Strike2,Dip2,Rake2,Strike3,Dip3,Rake3,Strike4,Dip4,Rake4,X1,X2,X3,X4,qtz,picture,notes,xz_strike,xz_dip,yz_strike,yz_dip
119.9527224,-21.1839915,AME16_014,0,1,0,234,14,N/A,,,,,,,,,,,,,,,phone,migmatite_complex_sos_in_question_--_drawing_in_notebook,,,,
119.8509043,-21.08397368,AME16_015,0,0,0,219,15,N/A,162,15,,,,,,,,,,,,,,drawing_in_notebook_--_corrugated_foliation,,,,
119.85736,-21.06768714,AME16_016,0,0,0,185,26,75,198,27,,,,,,,,,,,,,,,,,,
119.841396,-21.1100114,AME16_017,0,0,0,239,50,N/A,,,,,,,,,,,,,,,,,,,,
119.8420769,-21.10932324,AME16_018,0,1,0,7,63,105,,,,,,,,,,,,,,,,clear_top_to_east_sos,104,77,322,31
120.264206,-21.33052426,AME16_019,0,1,0,36,68,101,36,63,97,39,67,100,36,73,98,,,,,,phone,drawing—possible_dome-down_sos,130,80,297,24
120.2634102,-21.32965188,AME16_020,0,1,0,41,80,110,45,74,110,38,74,108,,,,,,,,,,,135,70,285,22
120.262571,-21.32889122,AME16_021,0,1,0,44,63,125,,,,,,,,,,,,,,,,"a+b_samples:_a_is_pegmatitte,_b_is_granite",152,59,281,43
120.2622533,-21.32730536,AME16_022a,0,1,0,38,82,100,,,,,,,,,,,,,,,,applite,129,80,270,13
120.2622533,-21.32730536,AME16_022b,0,1,0,48,62,102,,,,,,,,,,,,,,,,granite,144,79,288,30
120.2293657,-21.38967787,AME16_024,0,0,0,8,52,96,10,66,N/A,23,69,101,,,,,,,,,,,,,,
120.2297401,-21.38991239,AME16_025,0,0,0,50,59,N/A,39,58,N/A,,,,,,,0.39,0.22,0.54,0.35,,,,,,,
120.2261097,-21.38551743,AME16_026,0,0,0,25,84,118,26,87,,,,,,,,1.59,1.68,1.59,1.62,,,,,,,
120.1584815,-21.43022633,AME16_027,0,1,0,61,64,106,82,56,95,,,,,,,,,,,,,dome-down_SOS,158,76,274,30
119.8682415,-21.13956934,AME16_028,1,0,0,181,64,N/A,184,45,,,,,,,,0.01,0.05,0.03,0.05,blebby,,,,,,
119.8753659,-21.12849508,AME16_029,1,0,0,193,73,N/A,,,,,,,,,,0.1,0.15,0.11,0.14,blebby,,,,,,
119.8787698,-21.11969057,AME16_030,1,0,0,189,66,N/A,,,,,,,,,,0.03,0.06,0.05,0.06,stretched,,,,,,
119.8861984,-21.10989003,AME16_031,1,0,0,234,82,N/A,263,82,,,,,,,,0.00,-0.01,-0.01,-0.01,,,,,,,
119.8949238,-21.10435386,AME16_032,1,0,0,355,66,N/A,,,,,,,,,,0.49,0.36,0.36,0.11,blebby,,,,,,
119.9032344,-21.09877411,AME16_033,1,0,0,14,51,N/A,23,74,,,,,,,,0.06,2.42,0.78,0.61,blebby,,,,,,
119.9143817,-21.09370826,AME16_034,1,0,0,144,66,N/A,,,,,,,,,,0.51,0.22,0.23,0.07,stretched_,,,,,,
119.9249652,-21.09314156,AME16_035,1,0,0,305,75,N/A,266,76,,,,,,,,0.06,0.21,0.64,0.75,blebby,,lots_of_swirly_pegmatites,,,,
120.3301648,-21.06612794,AME16_036,0,1,0,336,68,56,344,70,63,,,,,,,,,,,,,strongly_foliated/lineated_schist,308,59,85,40
