Field,Moment,FieldParasub,MomentParasub
4.08E-01,9.08E-06,4.08E-01,6.02E-06
4.04E-01,9.07E-06,4.04E-01,6.03E-06
4.01E-01,9.04E-06,4.01E-01,6.03E-06
3.98E-01,9.02E-06,3.98E-01,6.03E-06
3.95E-01,9.00E-06,3.95E-01,6.03E-06
3.92E-01,8.97E-06,3.92E-01,6.02E-06
3.89E-01,8.94E-06,3.89E-01,6.02E-06
3.86E-01,8.92E-06,3.86E-01,6.02E-06
3.83E-01,8.90E-06,3.83E-01,6.02E-06
3.80E-01,8.87E-06,3.80E-01,6.01E-06
3.77E-01,8.84E-06,3.77E-01,6.01E-06
3.74E-01,8.82E-06,3.74E-01,6.00E-06
3.71E-01,8.80E-06,3.71E-01,6.00E-06
3.68E-01,8.77E-06,3.68E-01,6.01E-06
3.65E-01,8.74E-06,3.65E-01,6.00E-06
3.62E-01,8.72E-06,3.62E-01,6.00E-06
3.59E-01,8.70E-06,3.59E-01,6.00E-06
3.56E-01,8.67E-06,3.56E-01,5.99E-06
3.53E-01,8.65E-06,3.53E-01,5.99E-06
3.50E-01,8.62E-06,3.50E-01,5.99E-06
3.47E-01,8.59E-06,3.47E-01,5.98E-06
3.44E-01,8.57E-06,3.44E-01,5.98E-06
3.41E-01,8.54E-06,3.41E-01,5.97E-06
3.38E-01,8.51E-06,3.38E-01,5.96E-06
3.35E-01,8.48E-06,3.35E-01,5.96E-06
3.32E-01,8.46E-06,3.32E-01,5.97E-06
3.29E-01,8.43E-06,3.29E-01,5.95E-06
3.26E-01,8.41E-06,3.26E-01,5.96E-06
3.23E-01,8.38E-06,3.23E-01,5.94E-06
3.20E-01,8.34E-06,3.20E-01,5.94E-06
3.17E-01,8.33E-06,3.17E-01,5.94E-06
3.14E-01,8.29E-06,3.14E-01,5.92E-06
3.11E-01,8.27E-06,3.11E-01,5.93E-06
3.08E-01,8.23E-06,3.08E-01,5.92E-06
3.05E-01,8.21E-06,3.05E-01,5.92E-06
3.02E-01,8.18E-06,3.02E-01,5.90E-06
2.99E-01,8.15E-06,2.99E-01,5.90E-06
2.96E-01,8.12E-06,2.96E-01,5.89E-06
2.93E-01,8.09E-06,2.93E-01,5.88E-06
2.90E-01,8.05E-06,2.90E-01,5.87E-06
2.87E-01,8.02E-06,2.87E-01,5.86E-06
2.84E-01,7.99E-06,2.84E-01,5.85E-06
2.81E-01,7.96E-06,2.81E-01,5.84E-06
2.78E-01,7.93E-06,2.78E-01,5.84E-06
2.75E-01,7.89E-06,2.75E-01,5.82E-06
2.72E-01,7.86E-06,2.72E-01,5.82E-06
2.69E-01,7.83E-06,2.69E-01,5.80E-06
2.66E-01,7.79E-06,2.66E-01,5.79E-06
2.63E-01,7.76E-06,2.63E-01,5.78E-06
2.60E-01,7.72E-06,2.60E-01,5.76E-06
2.57E-01,7.68E-06,2.57E-01,5.75E-06
2.54E-01,7.65E-06,2.54E-01,5.74E-06
2.51E-01,7.61E-06,2.51E-01,5.72E-06
2.48E-01,7.57E-06,2.48E-01,5.70E-06
2.45E-01,7.53E-06,2.45E-01,5.69E-06
2.42E-01,7.49E-06,2.42E-01,5.67E-06
2.39E-01,7.45E-06,2.39E-01,5.65E-06
2.36E-01,7.42E-06,2.36E-01,5.64E-06
2.33E-01,7.38E-06,2.33E-01,5.62E-06
2.30E-01,7.33E-06,2.30E-01,5.60E-06
2.27E-01,7.29E-06,2.27E-01,5.58E-06
2.24E-01,7.25E-06,2.24E-01,5.56E-06
2.21E-01,7.20E-06,2.21E-01,5.54E-06
2.18E-01,7.15E-06,2.18E-01,5.51E-06
2.15E-01,7.11E-06,2.15E-01,5.49E-06
2.12E-01,7.05E-06,2.12E-01,5.45E-06
2.09E-01,7.01E-06,2.09E-01,5.43E-06
2.06E-01,6.95E-06,2.06E-01,5.40E-06
2.03E-01,6.90E-06,2.03E-01,5.38E-06
2.00E-01,6.85E-06,2.00E-01,5.34E-06
1.97E-01,6.78E-06,1.97E-01,5.30E-06
1.94E-01,6.75E-06,1.94E-01,5.29E-06
1.91E-01,6.68E-06,1.91E-01,5.24E-06
1.88E-01,6.61E-06,1.88E-01,5.20E-06
1.85E-01,6.57E-06,1.85E-01,5.18E-06
1.82E-01,6.51E-06,1.82E-01,5.14E-06
1.79E-01,6.44E-06,1.79E-01,5.09E-06
1.76E-01,6.39E-06,1.76E-01,5.06E-06
1.73E-01,6.31E-06,1.73E-01,5.01E-06
1.70E-01,6.24E-06,1.70E-01,4.96E-06
