Name	Field	Freq.	Km	L	F	P	Pj	T	U	K1dec	K1inc	K2dec	K2inc	K3dec	K3inc	K11	K22	K33	K12	K23	K13
AME16114_A1	423	F1	5195.722	1.079	1.114	1.202	1.203	0.169	0.125	261.5	65.9	80.8	24.1	170.9	0.3	0.90771	1.01802	1.07427	0.01798	-0.02953	-0.0039
AME16114_B1	423	F1	4117.29	1.079	1.069	1.154	1.154	-0.065	-0.1	287.3	57.8	92.4	31.3	186.5	6.7	0.93456	1.01479	1.05066	-0.01352	-0.03304	0.01804
AME16114_B2	423	F1	3996.098	1.064	1.09	1.16	1.161	0.163	0.127	289.9	54.8	102.9	35	195.2	3.3	0.9316	1.01945	1.04895	-0.02783	-0.02727	0.01488
AME16114_C1	423	F1	4851.618	1.058	1.079	1.142	1.143	0.146	0.114	285.7	48.1	106	41.9	15.8	0.1	0.93863	1.02377	1.0376	-0.0262	-0.02815	0.00771
AME16114_C2	423	F1	3885.593	1.072	1.058	1.134	1.135	-0.108	-0.139	297.3	58.4	96.7	29.9	192	9.2	0.94764	1.00743	1.04493	-0.01881	-0.02671	0.02304
AME16115_A1	423	F1	67.78923	1.043	1.059	1.105	1.105	0.153	0.129	271.2	41.5	6.9	6.4	104	47.8	1.00279	1.00465	0.99256	0.0054	-0.04851	0.00718
AME16115_A2	423	F1	68.08867	1.054	1.038	1.094	1.094	-0.169	-0.191	260.9	39.3	1	12.1	104.9	48.2	0.99405	1.01043	0.99552	0.00899	-0.04322	0.00049
AME16115_B1	423	F1	65.12385	1.04	1.056	1.098	1.099	0.164	0.141	261.1	49.7	9.6	15.1	111	36.3	1.00035	0.99057	1.00908	0.01419	-0.04339	0.00605
AME16115_B2	423	F1	66.45643	1.044	1.067	1.114	1.115	0.196	0.17	269	50	10	9.1	107.4	38.6	1.00268	0.98952	1.00779	0.01131	-0.05136	0.00881
AME16115_C1	423	F1	86.66434	1.081	1.055	1.14	1.141	-0.185	-0.216	235.5	59.5	12.9	23.5	111.2	18.4	0.99107	0.96413	1.0448	0.02533	-0.04333	-0.01428
AME16115_C2	423	F1	167.595	1.077	1.095	1.179	1.179	0.098	0.057	322.5	38.2	169.6	48.5	63.6	13.7	1.01701	0.9551	1.0279	-0.05559	-0.0407	0.02097
AME16137_A1	423	F1	191.8123	1.014	1.079	1.094	1.101	0.686	0.674	300.3	38.2	169.1	39.9	53.9	27	1.00177	0.98801	1.01022	-0.03201	-0.03037	-0.01414
AME16137_A2	423	F1	192.4496	1.026	1.082	1.11	1.115	0.506	0.487	283.6	53.7	154.8	24.7	52.6	24.8	0.99388	0.98564	1.02048	-0.03265	-0.03541	-0.01475
AME16137_B1	423	F1	205.238	1.024	1.094	1.121	1.128	0.583	0.564	307.7	31.4	170.8	50.2	52	21.9	0.99909	0.98535	1.01556	-0.04547	-0.03266	-0.01212
AME16137_B2	423	F1	176.1802	1.035	1.062	1.099	1.1	0.278	0.257	291.7	54.8	153.6	27.7	52.6	19.9	0.99035	0.9852	1.02445	-0.02916	-0.0303	-0.00542
AME16137_C1	423	F1	216.6262	1.022	1.094	1.117	1.125	0.613	0.596	313.5	40.3	171.1	43	61.4	19.9	1.01017	0.96892	1.02091	-0.03891	-0.0325	-0.00586
AME16138_A1	423	F1	140.3354	1.023	1.067	1.092	1.095	0.473	0.456	251.7	63.7	129.7	14.7	33.9	21.3	0.97577	1.00033	1.0239	-0.02408	-0.02088	-0.02076
AME16138_A2	423	F1	128.7035	1.022	1.057	1.08	1.082	0.441	0.426	265.5	60.6	138.3	18.8	40.5	21.7	0.98379	0.99626	1.01995	-0.02271	-0.02146	-0.01494
AME16138_B1	423	F1	110.9737	1.02	1.056	1.077	1.08	0.465	0.45	277	55.2	142.7	25.9	41.7	21.6	0.98533	0.99714	1.01753	-0.02383	-0.02167	-0.01257
AME16138_B2	423	F1	114.663	1.018	1.054	1.073	1.076	0.491	0.478	274.8	55.2	143.1	24.8	41.9	22.7	0.98681	0.99744	1.01574	-0.02238	-0.02086	-0.01301
AME16138_C1	423	F1	125.7918	1.022	1.072	1.095	1.099	0.527	0.511	274.3	60.4	140.8	21.4	42.8	19.5	0.98287	0.99273	1.02439	-0.03049	-0.02389	-0.01492
AME16138_C2	423	F1	133.5192	1.026	1.054	1.081	1.082	0.351	0.334	275.2	56.4	130.2	28.6	31.1	16.2	0.97382	1.00376	1.02241	-0.02172	-0.01895	-0.01075
AME16139_A1	423	F1	117.7263	1.002	1.061	1.063	1.072	0.94	0.938	297.2	49.6	92.4	37.7	192.2	12.5	0.96557	1.0171	1.01733	-0.01188	0.00178	0.01252
AME16139_A2	423	F1	115.5709	1.015	1.073	1.09	1.096	0.647	0.635	66	86.8	295.9	2.1	205.8	2.5	0.96174	1.00485	1.03341	-0.02726	0.00209	0.00304
AME16139_B1	423	F1	154.691	1.006	1.053	1.059	1.066	0.802	0.797	291.1	21.7	75.2	63.8	195.4	13.9	0.97076	1.01618	1.01306	-0.01411	0.00132	0.01229
AME16139_C1	423	F1	135.3954	1.004	1.049	1.053	1.059	0.839	0.835	75.2	66.5	290	19.7	195.5	12.4	0.97246	1.01178	1.01576	-0.01145	0.00416	0.00996
AME16139_D1	423	F1	113.56	1.008	1.07	1.079	1.087	0.793	0.786	95.1	34.2	322.5	44.9	204	25.5	0.97417	1.01608	1.00975	-0.02079	0.01435	0.0235
AME16139_D2	423	F1	117.0752	1.006	1.063	1.07	1.078	0.818	0.812	95.2	31.4	327.4	45.1	204.5	28.4	0.97929	1.01459	1.00612	-0.01813	0.01331	0.02283
AME16140_A1	423	F1	196.7533	1.033	1.094	1.13	1.135	0.464	0.44	292.4	60.1	61.8	20	159.9	21.2	0.95202	1.01605	1.03193	0.02153	-0.02368	0.03323
AME16140_A2	423	F1	288.2388	1.037	1.079	1.12	1.123	0.35	0.325	307.5	64.1	66.9	13.4	162.3	21.8	0.95654	1.01081	1.03265	0.01511	-0.01963	0.03353
AME16140_B1	423	F1	131.3718	1.036	1.098	1.138	1.143	0.456	0.43	271	57.3	65.1	30	162	11.8	0.93927	1.02052	1.0402	0.02552	-0.02215	0.01764
AME16140_B2	423	F1	144.5026	1.035	1.099	1.138	1.143	0.469	0.443	263.7	48.9	44.2	33.9	148.6	20.3	0.96007	1.012	1.02794	0.0377	-0.03311	0.02365
AME16140_C1	423	F1	84.40231	1.014	1.139	1.155	1.172	0.801	0.788	341.9	72.9	82.6	3.3	173.6	16.8	0.92397	1.03575	1.04027	0.01246	-0.0052	0.03861
