wkt_geom,field_1,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,rake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
Point (119.93735399999999913 -21.35516499999999951),762,Ame18fieldstation-482,Point,119.937354,-21.355165,The_lumpadump_layer!_Deformed_chert._The_quartz_grains_may_show_sinistral_shear_sense_within_the_bed_itself._Ssdd,158,80,248,80,90,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93789099999999337 -21.35580799999999968),1326,AME 18 fieldstation-474,Point,119.937891,-21.355808,,58,88,148,88,90,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93695999999999913 -21.3556430000000006),765,Ame18fieldstation-484,Point,119.93696,-21.355643,,10,85,111,85,91,0,0,bedding,,,,0,0,0,0,,,15302491222981.jpg,15302489992394.jpg,,,,,,,,
Point (119.93709499999999935 -21.35442600000000013),1312,AME 18 fieldstation-462,Point,119.937095,-21.354426,,161,87,69,87,91,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93763099999999611 -21.35581900000000033),1325,AME 18 fieldstation-473,Point,119.937631,-21.355819,,61,87,169,87,91,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93799199999999416 -21.35537100000000166),1880,AME18FieldStation-466,Point,119.937992,-21.355371,Crenulation_cleavage,281,81,17,81,91,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93748499999999524 -21.35502599999999873),1315,AME 18 fieldstation-465,Point,119.937485,-21.355026,Won’t_allow_editing_of_tag;_the_interbedded_chert_is_a_5-10m_thick_bed_that_has_more_chert_on_the_inside_and_the_schist_more_concentrated_on_the_outside,348,76,90,76,93,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93770499999999402 -21.35538299999999978),1878,AME18FieldStation-465,Point,119.937705,-21.355383,,280,83,33,82,93,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.9362560000000002 -21.3552880000000016),937,Ame18fieldstation-617,Point,119.936256,-21.355288,,135,74,239,74,94,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.93712399999999718 -21.35456999999999894),1871,AME18FieldStation-459,Point,119.937124,-21.35457,With_chlorite_schist,325,87,108,85,94,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93727499999999964 -21.35482700000000023),748,Ame18fieldstation-473,Point,119.937275,-21.354827,,160,90,340,85,95,0,0,bedding,,,,0,0,0,0,,,15302405328497.jpg,,,,,,,,,
Point (119.93644700000000114 -21.35559500000000099),936,Ame18fieldstation-616,Point,119.936447,-21.355595,,174,86,315,84,95,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93760600000000238 -21.35526700000000133),1317,AME 18 fieldstation-467,Point,119.937606,-21.355267,,13,84,143,82,95,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93713599999999531 -21.3545739999999995),1872,AME18FieldStation-460,Point,119.937136,-21.354574,With_chlorite_schist,341,88,139,85,95,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93819600000000491 -21.35544499999999957),759,Ame18fieldstation-480,Point,119.938196,-21.355445,Symmetrical_crenulations_in_small_scale_symmetric_folds.,104,88,266,84,96,0,0,bedding,,,,0,0,0,0,,,15302440426209.jpg,,,,,,,,,
Point (119.93787199999999871 -21.35580099999999959),1327,AME 18 fieldstation-475,Point,119.937872,-21.355801,,238,89,51,82,98,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93806700000000376 -21.35540299999999903),1883,AME18FieldStation-468,Point,119.938067,-21.355403,,77,86,233,80,99,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93721999999999639 -21.35457800000000006),747,Ame18fieldstation-472,Point,119.93722,-21.354578,,165,86,323,79,100,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
Point (119.93716200000000072 -21.35458200000000062),1873,AME18FieldStation-461,Point,119.937162,-21.354582,With_chlorite_schist,340,87,145,79,101,0,0,bedding,,,,0,0,0,0,,,,,,,,,,,,
