wkt_geom,field_1,fieldStation,type,easting,northing,notes,strike,dip,assocTrend,assocPlunge,rake,trend,plunge,featureType,foliationType,otherStructure,otherStructureType,hingeTrend,hingePlunge,axialPlaneStrike,axialPlaneDip,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
Point (119.97068489999999485 -21.37483007999999884),1586,Ame_16_133,Point,119.9706849,-21.37483008,,122,75,0,0,0,0,0,foliation,Mineral elongation,,,0,0,0,0,,,,,,,,,,,,
Point (119.97407579999999427 -21.3723319399999987),1587,Ame_16_136,Point,119.9740758,-21.37233194,,149,67,0,0,0,0,0,foliation,Mineral elongation,,,0,0,0,0,,,,,,,,,,,,
Point (119.97723039999999628 -21.37146441000000152),1589,Ame_16_137,Point,119.9772304,-21.37146441,,145,73,0,0,0,0,0,foliation,Mineral elongation,,,0,0,0,0,,,,,,,,,,,,
Point (119.97181729999999789 -21.37381192999999868),1590,Ame_16_134,Point,119.9718173,-21.37381193,,134,77,0,0,0,0,0,foliation,Mineral elongation,,,0,0,0,0,,,,,,,,,,,,
Point (119.96174399999999594 -21.36169599999999846),1762,AME18FieldStation-365,Point,119.961744,-21.361696,Contact_of_both_units,150,69,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,15298912167851.jpg,,,,,,,,,
Point (119.96335100000000295 -21.36143200000000064),1778,AME18FieldStation-375,Point,119.963351,-21.361432,More_garnets;_contact_with_plutonic_intrusion._Schist_with_garnets_then_amphibolite_contacting_granite,126,76,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,15299086783190.jpg,,,,,,,,,
Point (119.96262299999999357 -21.36231400000000136),1979,AME18FieldStation-549,Point,119.962623,-21.362314,,154,70,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.95561200000000213 -21.35532600000000159),1998,AME18FieldStation-566,Point,119.955612,-21.355326,,147,67,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.95692599999999572 -21.35628600000000077),1999,AME18FieldStation-567,Point,119.956926,-21.356286,,133,81,0,0,0,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.96032300000000248 -21.35918399999999906),880,Ame18fieldstation-577,Point,119.960323,-21.359184,Interbeddedschists.,308,86,322,74,74,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.95618899999999485 -21.35572900000000018),894,Ame18fieldstation-590,Point,119.956189,-21.355729,,305,87,315,74,74,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.96259200000000078 -21.36190699999999865),870,Ame18fieldstation-570,Point,119.962592,-21.361907,,317,86,337,78,79,0,0,foliation,schistosity,,,0,0,0,0,Ame18-237,37 86,,,,,,,,,,
Point (119.96200199999999825 -21.36260599999999954),1972,AME18FieldStation-544,Point,119.962002,-21.362606,,325,87,340,79,79,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.95558900000000335 -21.35509700000000066),893,Ame18fieldstation-589,Point,119.955589,-21.355097,,318,86,340,79,80,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.9591570000000047 -21.35692299999999832),1993,AME18FieldStation-561,Point,119.959157,-21.356923,,305,89,311,80,80,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.96745694999999898 -21.37009390000000053),136,Ame18fieldstation-80,Point,119.96745695,-21.3700939,Quartzofeldspathic_schist;_finely_lamited._Quartz_veins_parallel_to_foliation.,126,76,186,74,82,0,0,foliation,schistosity,,,0,0,0,0,,,15271173171072.jpg,15271175064986.jpg,,,,,,,,
Point (119.961552999999995 -21.36191499999999976),617,Ame18fieldstation-366,Point,119.961553,-21.361915,Fine_grained_amphibolite_with_a_highly_plane_foliation._Lamited_at_the_1_-_2_cm_scale.,145,75,206,73,82,0,0,foliation,schistosity,,,0,0,0,0,,,15298895315992.jpg,,,,,,,,,
Point (119.96151100000000156 -21.36194300000000013),1209,AME 18 fieldstation-375,Point,119.961511,-21.361943,Finer_grained;_stronger_foliation;_1-2cm_lamition,145,75,206,73,82,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.96152800000000127 -21.36201700000000159),1757,AME18FieldStation-359,Point,119.961528,-21.362017,Fine_grained_magic_amphibolite._1-2_cm_lamitions.__More_foliated,145,75,206,73,82,0,0,foliation,schistosity,,,0,0,0,0,,,15298892911937.jpg,,,,,,,,,
Point (119.96124299999999607 -21.36221499999999907),614,Ame18fieldstation-364,Point,119.961243,-21.362215,Poorly_foliated_metabasalt;_fine_grained_and_perhaps_chlorite_bearing.,149,85,189,82,84,0,0,foliation,schistosity,,,0,0,0,0,,,15298882797285.jpg,,,,,,,,,
Point (119.96124000000000365 -21.36219799999999935),1207,AME 18 fieldstation-373,Point,119.96124,-21.362198,Chlorite_schist_metabasalt;_small_outcrop;_looks_in_place,149,85,189,82,84,0,0,foliation,plar_schistosity,,,0,0,0,0,,,15298880505925.jpg,,,,,,,,,
Point (119.9612329999999929 -21.36222300000000018),1755,AME18FieldStation-357,Point,119.961233,-21.362223,Metabasalt,149,85,189,82,84,0,0,foliation,schistosity,,,0,0,0,0,,,15298879918910.jpg,,,,,,,,,
Point (119.9619689999999963 -21.36261299999999963),1971,AME18FieldStation-543,Point,119.961969,-21.362613,,149,89,158,84,84,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.95995800000000031 -21.35943800000000081),1985,AME18FieldStation-554,Point,119.959958,-21.359438,,304,86,338,83,84,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
Point (119.96156999999999471 -21.36210600000000071),615,Ame18fieldstation-365,Point,119.96157,-21.362106,Mafic_amphibolite;_fine_to_medium_grained._Strongly_foliated_with_a_foliation_parallel_cleavage_that_makes_the_rock_break_into_flat_spears._L_tectonite?_Hard_to_tell_because_everything_is_so_mafic._Also_possible_SC_fabric;_showing_dextral_motion._Bedding_v_foliation?,141,74,213,73,85,0,0,foliation,schistosity,,,0,0,0,0,,,15298888477968.jpg,15298887105048.jpg,,,,,,,,
Point (119.96156000000000574 -21.36214700000000022),1208,AME 18 fieldstation-374,Point,119.96156,-21.362147,Magic_medium_grained_amphibolite;_more_deformed_than_southern_spot_due_to_more_foliation_exhibited___(Transact_of_god_yesterday_had_very_deformed_outcrops_at_every_spot;_the_spots_tagged_as_both_amphibolite_and_CS_are_this_unit;_the_magic_medium_grained_amphibolite),141,74,213,73,85,0,0,foliation,schistosity,,,0,0,0,0,,,15298889018977.jpg,,,,,,,,,
Point (119.96153400000000033 -21.36210000000000164),1756,AME18FieldStation-358,Point,119.961534,-21.3621,Medium_grained_mafic_amphibolite;_more_foliated_than_last_spot.,141,74,213,73,85,0,0,foliation,schistosity,,,0,0,0,0,,,15298885349863.jpg,,,,,,,,,
Point (119.96165700000000243 -21.36043400000000148),634,Ame18fieldstation-376,Point,119.961657,-21.360434,Coherent_strong_fabric;_ridge_forming_unit.,150,72,230,72,87,0,0,foliation,schistosity,,,0,0,0,0,Ame18-211,147 77,15298966437080.jpg,,,,,,,,,
Point (119.95634300000000394 -21.35447200000000123),1996,AME18FieldStation-564,Point,119.956343,-21.354472,,125,75,211,75,89,0,0,foliation,schistosity,,,0,0,0,0,,,,,,,,,,,,
