,fieldStation,easting,northing,notes,strike,dip,assocRake,featureType,foliationType,sampleme,sampleOrientationNote,imageID,imageID2,imageID3,imageID4,imageID5,imageID6,imageID7,imageID8,imageID9,imageID10
1864,AME18FieldStation-452,119.939943,-21.356353,,80,90,89,bedding,,,,,,,,,,,,,
133,Ame18fieldstation-77,120.34585531812,-21.218838295919,,80,52,120,foliation,gneissic_folia,,,,,,,,,,,,
1886,AME18FieldStation-470,119.937219,-21.355902,,81,89,89,bedding,,,,,,,,,,,,,
335,Ame18fieldstation-188,119.83952695,-21.33443135,"Coherent_mafic_schist,",82,67,104,foliation,schistosity,Ame18-092 geochemistry,,15278173756704.jpg,15278171660634.jpg,15278171430151.jpg,,,,,,,
606,Ame18fieldstation-357,119.936194,-21.343003,,84,83,92,foliation,schistosity,,,15298237123070.jpg,,,,,,,,,
604,Ame18fieldstation-355,119.935239,-21.342189,,84,74,109,foliation,gneissic_folia,,,15298227538467.jpg,,,,,,,,,
1908,AME18FieldStation-488,487.288938,566.282079,,85,74,80,bedding,,,,,,,,,,,,,
2019,AME18FieldStation-578,119.940372,-21.35719,Finely_lamited,85,84,108,foliation,schistosity,,,,,,,,,,,,
1847,AME18FieldStation-436,119.93947,-21.356264,,86,72,86,bedding,,,,,,,,,,,,,
345,Ame18fieldstation-197,119.84542074624,-21.318184845169,Another_chert_bed,86,85,91,bedding,,Ame18-100,086 85,15278249820662.jpg,,,,,,,,,
334,Ame18fieldstation-187,119.83954191667,-21.334434466667,"Strongly_foliated_and_lineated_chert_bed,_about_0.5_meters_thick.",88,75,89,,,Ame18-093,088 75,15278163150013.jpg,,,,,,,,,
1720,AME18FieldStation-330,119.944712,-21.349681,"Metabasalt,_fold_with_fracture_plane,_foliation_stays_constant_across_fractures._Area_in_surrounds_seem_part_of_fold_of_sorts.",89,70,119,foliation,schistosity,,,15298000774749.jpg,15298028460809.jpg,,,,,,,,
307,Ame18fieldstation-170,119.99181366667,-21.3942731,,90,62,60,,,Ame18-083,,15277268937675.jpg,15277269340288.jpg,,,,,,,,
608,Ame18fieldstation-359,119.937386,-21.344005,Euhadral_magnetite!_Chlorite_schist_with_zones_of_intense_crenulation.,92,71,90,foliation,schistosity,Ame18-209,092 61,15298248832025.jpg,,,,,,,,,
609,Ame18fieldstation-359,119.937386,-21.344005,Euhadral_magnetite!_Chlorite_schist_with_zones_of_intense_crenulation.,92,61,91,foliation,schistosity,,,15298248832025.jpg,,,,,,,,,
541,Ame18fieldstation-311,119.945723,-21.350641,Mafic_amphibolite._More_massively_lamited.,92,79,113,foliation,mineral_alignm,,,15297234625838.jpg,,,,,,,,,
344,Ame18fieldstation-196,119.84530289669,-21.318333037217,Chert_bed_in_the_chlorite_schist_zine_of_sinking.,93,81,84,bedding,,Ame18-098,093 81,,,,,,,,,,
15,15258325181735,119.94465468333,-21.349022583333,Me_tased_amphibolite,93,70,100,foliation,gneissic_folia,,,,,,,,,,,,
1127,AME 18 fieldstation-306,119.943961,-21.351396,"Quartzo_feldspathic_schist,__muscovite,_feldspar_,_quartz___Meta_basalt_embedded_with_it_(chlorite_schist)___West_side_of_basecamp",93,78,114,foliation,plar_schistosity,,,15297136874199.jpg,,,,,,,,,
1903,AME18FieldStation-483,119.955784,-21.368133,Leg_of_fold,94,67,36,bedding,,,,,,,,,,,,,
1342,AME 18 fieldstation-498,119.955953,-21.368086,,94,85,56,bedding,,,,15304950542190.jpg,15304946524192.jpg,15304946133245.jpg,,,,,,,
1782,AME18FieldStation-378,119.942089,-21.356128,"Fold_in_a_chert_bed,_lineation_changes_around_fold.",96,89,99,bedding,,,,15300629967320.jpg,15300620524379.jpg,,,,,,,,
1788,AME18FieldStation-382,479.458008,300.917969,,96,89,99,bedding,,,,,,,,,,,,,
1197,AME 18 fieldstation-363,119.935132,-21.342689,"Verging_in_amphibolite,_more_felsic_grains_and_clear_lineation_displayed,_this_stoped_when_on_way_down_of_hill_approximately_50m_after_appearing,_became_the_regular_chlorite_schist_again",97,80,95,foliation,plar_schistosity,,,,,,,,,,,,
1303,AME 18 fieldstation-454,119.93989,-21.356193,,98,88,81,bedding,,,,,,,,,,,,,
584,Ame18fieldstation-341,119.943574,-21.347905,,98,87,108,foliation,,,,15298092540694.jpg,,,,,,,,,
1179,AME 18 fieldstation-348,119.943625,-21.347911,"Interbedding,_not_parallel_to_foliation",98,87,108,foliation,plar_schistosity,,,15298093895445.jpg,,,,,,,,,
1730,AME18FieldStation-336,119.943541,-21.347916,Same_flexrual_shear,98,87,108,foliation,schistosity,,,15298093009597.jpg,,,,,,,,,
1742,AME18FieldStation-347,119.934449,-21.342859,Metabasalt,98,84,109,foliation,schistosity,,,15298224743327.jpg,,,,,,,,,
292,Ame18fieldstation-164,119.98879953333,-21.397177616667,"Corun_downs_gneiss_earth,_highly_deformed_with_s-c_fabric_that_shows_a_predomintly_sinistral_shear_sense,_even_though_lineation_points_nearly_down_dip._Transpression?______It_seems_like_there_is_an_older_strike_slip_fabric_or_fabrics,_and_then_on_the_S_planes,_there_is_a_stretching_lineation_subperpendicular_to_the_sliding_direction_on_the_biotite_s_surfaces._______There_are_also_areas_with_dextral_motion,_including_offset_aplite_dikes._These_dikes_are_dextrally_offset_even_along_strike_of_the_area_with_the_most_clear_sinistral_sc_and_porphyroclasts_fabrics._Interesting._Did_a_full_set_of_photos_to_create_a_stitched_together_outcrop_image.",98,80,110,foliation,gneissic_folia,Ame18-079 geochemistry,,15276484208948.jpg,15276551820338.jpg,,,,,,,,
1749,AME18FieldStation-352,119.938149,-21.345457,Metabasalt_or_amphibolite,98,80,115,foliation,schistosity,,,,,,,,,,,,
999,Ame18fieldstation-656,119.794611,-21.303679,"3_meter_wide_outcrop_of_chert,_may_be_thicker._Very_Stripey.",98,89,134,bedding,,,,15315387350941.jpg,15315384526877.jpg,,,,,,,,
532,Ame18fieldstation-306,119.944086,-21.35132,We_camped_here._A_20_m_cliff_outcrop_of_Interbedded_metabasalt_and_felsic_metavolcanic._Fabric_of_the_two_are_aligned.,99,88,114,foliation,schistosity,,,15297128521388.jpg,,,,,,,,,
605,Ame18fieldstation-356,119.93538,-21.342257,YZ_plane_shows_sinistral_sos.,100,86,110,foliation,gneissic_folia,Ame18-208,100 86,15298233049513.jpg,,,,,,,,,
1905,AME18FieldStation-485,119.955964,-21.368112,Leg_of_fold_but_same_unit_as_484.,101,87,65,bedding,,,,,,,,,,,,,
2026,AME18FieldStation-584,119.939201,-21.356719,,101,85,97,foliation,schistosity,,,,,,,,,,,,
547,Ame18fieldstation-317,119.946215,-21.349885,,101,78,109,foliation,schistosity,,,15297256402736.jpg,,,,,,,,,
1143,AME 18 fieldstation-319,119.946182,-21.349887,"Little_feldspathic_interbedding,_majority_is_chlorite_schist",101,78,109,foliation,plar_schistosity,,,15297255423857.jpg,,,,,,,,,
1705,AME18FieldStation-317,119.946138,-21.349922,Close_to_center_of_fold,101,78,109,foliation,schistosity,,,15297256267049.jpg,,,,,,,,,
1832,AME18FieldStation-420,119.93965,-21.355882,,102,88,102,bedding,,,,,,,,,,,,,
