Name          Field         Freq.         Km            L             F             P             Pj            T             U             K1dec         K1inc         K2dec         K2inc         K3dec         K3inc         K11           K22           K33           K12           K23           K13
AME18_139B_B   423          F1             4922.323      1.135         1.061         1.204         1.208        -0.365        -0.405         212           77.9          48.8          11.5          318.1         3.4           0.9481        0.95166       1.10024       0.03015      -0.012        -0.02522 
AME18_139B_C   423          F1             3746.803      1.157         1.051         1.215         1.225        -0.493        -0.53          223.9         63.4          3.7           20.9          99.9          15.6          0.97956       0.93777       1.08267       0.02239      -0.05381      -0.04154 
AME18_139B_C   423          F1             6400.393      1.234         1.117         1.379         1.386        -0.309        -0.381         212.5         63.7          43            26            311           4.2           0.94707       0.91436       1.13857       0.06969      -0.04251      -0.08014 
AME18_147B_B   423          F1             2184          1.085         1.05          1.139         1.141        -0.257        -0.287         9.6           83.9          147.3         4.5           237.6         4.1           0.97513       0.95444       1.07043      -0.02081       0.00428       0.01054 
AME18_147B_C   423          F1             1781.203      1.17          1.053         1.232         1.243        -0.507        -0.545         140           83.1          7.4           4.7           277           5.1           0.96225       0.91544       1.12231       0.0046        0.01677      -0.01551 
AME18_147B_D   423          F1             1665.735      1.17          1.036         1.212         1.227        -0.634        -0.662         331.8         84.2          215.9         2.5           125.7         5.2           0.94688       0.93549       1.11763       0.01485      -0.01014       0.0161 
AME18_147B_D   423          F1             1588.444      1.12          1.066         1.193         1.196        -0.281        -0.322         298.4         84.3          45.8          1.7           136           5.4           0.95026       0.9529        1.09684       0.02942      -0.0141        0.00956 
AME18_147B_E   423          F1             1250.068      1.185         1.027         1.217         1.238        -0.726        -0.748         17.8          84            208.7         5.9           118.6         1.1           0.94587       0.9306        1.12352       0.01119       0.00518       0.01772 
AME18_147B_F   423          F1             820.2696      1.121         1.03          1.155         1.165        -0.586        -0.609         31.8          84.3          225.6         5.6           135.4         1.4           0.95666       0.95658       1.08676       0.0148        0.00566       0.01039 
AME18_147B_F   423          F1             743.796       1.162         1.021         1.187         1.206        -0.754        -0.772         357.8         84.8          185.7         5.1           95.7          0.7           0.9561        0.93525       1.10865       0.00191      -0.00079       0.01399 
AME18_148B_B   423          F1             3809.816      1.694         1.258         2.131         2.173        -0.394        -0.544         223.3         71.4          58.3          18            326.8         4.5           0.7695        0.83582       1.39468       0.11065      -0.11631      -0.1432 
AME18_148B_B   423          F1             3607.375      1.161         1.401         1.627         1.646         0.387         0.281         124.6         67.6          227.5         5.2           319.6         21.7          0.90203       0.95166       1.14631       0.11599       0.11518      -0.11175 
AME18_148B_B   423          F1             9220.983      1.398         1.32          1.846         1.847        -0.093        -0.242         200.7         64.9          46.4          22.9          312.3         9.8           0.90889       0.8367        1.25441       0.13407      -0.02291      -0.1617 
AME18_148B_C   423          F1             14132.04      1.3           1.17          1.521         1.528        -0.252        -0.348         203.7         71.1          81.1          10.4          348.2         15.6          0.8532        0.95033       1.19647       0.03673      -0.02773      -0.11494 
AME18_148B_D   423          F1             6149.241      1.743         1.14          1.988         2.074        -0.618        -0.716         163.6         70.7          21.6          15.4          288.5         11.3          0.88074       0.74587       1.37339       0.01125       0.07282      -0.19031 
AME18_197A_A   423          F1             2002.071      1.074         1.106         1.188         1.189         0.171         0.129         206.5         77.3          332.4         7.5           63.7          10.2          0.99194       0.9329        1.07516      -0.03566      -0.02217      -0.02173 
AME18_197A_A   423          F1             1429.766      1.08          1.105         1.193         1.194         0.128         0.084         332.1         79.1          160.8         10.7          70.5          1.6           0.99656       0.92105       1.0824       -0.03111      -0.00945       0.01227 
AME18_197A_B   423          F1             1941.284      1.057         1.105         1.167         1.17          0.286         0.251         309.7         67.4          146.1         21.7          53.8          5.8           0.98314       0.95606       1.06081      -0.04939      -0.0234        0.00733 
AME18_197A_C   423          F1             1476.548      1.114         1.071         1.193         1.195        -0.22         -0.262         316.3         58.5          154.5         30.2          59.8          8.1           0.9842        0.95121       1.06459      -0.04319      -0.04242       0.03143 
AME18_197A_C   423          F1             2812.509      1.143         1.104         1.262         1.263        -0.151        -0.208         309.7         85.8          162.3         3.5           72.2          2.3           0.97545       0.90048       1.12406      -0.02731      -0.0114        0.00547 
AME18_197B_B   423          F1             3440.486      1.111         1.1           1.222         1.222        -0.048        -0.098         306.1         48.7          165.8         34            61.3          20.5          0.99171       0.96367       1.04461      -0.05627      -0.07008       0.01788 
AME18_197B_C   423          F1             2138.822      1.036         1.16          1.202         1.216         0.615         0.586         321.5         61.2          129.4         28.3          222.2         5.1           0.96257       0.97465       1.06278      -0.07485      -0.00132       0.02174 
AME18_197B_D   423          F1             2961.607      1.074         1.079         1.159         1.159         0.031        -0.006         292.6         53.2          130.1         35.5          34            8.4           0.95446       0.99995       1.04559      -0.04269      -0.03874       0.00487 
AME18_197B_D   423          F1             3312.349      1.101         1.102         1.213         1.213         0.004        -0.044         328.7         55            148.7         35            58.7          0             0.99646       0.9387        1.06484      -0.05565      -0.02463       0.04045 
AME18_242B_C   423          F1             236.4269      1.033         1.069         1.104         1.106         0.35          0.328         253           47.1          106.2         37.8          2.3           17.1          0.95247       1.02466       1.02287       0.00187      -0.01651      -0.02319 
AME18_248A_B   423          F1             234.3439      1.078         1.023         1.103         1.108        -0.531        -0.549         81.6          83.9          302.2         4.6           211.9         4             0.96596       0.9766        1.05744      -0.00982       0.0088        0.00248 
AME18_248A_B   423          F1             257.9266      1.081         1.001         1.082         1.095        -0.972        -0.973         16.3          84.2          194.8         5.8           284.8         0.2           0.97465       0.97303       1.05232       0.00048       0.00224       0.00763 
AME18_248A_B   423          F1             349.761       1.093         1.033         1.129         1.134        -0.461        -0.484         289.5         86.8          192.6         0.4           102.6         3.2           0.97872       0.95043       1.07085       0.00663      -0.00649       0.00208 
AME18_250A_A   423          F1             61.36007      1.037         1.044         1.083         1.083         0.081         0.061         271.4         78.6          120.6         10            29.7          5.5           0.9701        0.99286       1.03704      -0.01798      -0.00921      -0.0033 
AME18_250A_A   423          F1             59.0663       1.042         1.025         1.069         1.07         -0.247        -0.263         245.1         82.3          126.5         3.7           36.1          6.7           0.9784        0.98634       1.03527      -0.01128      -0.00678      -0.00469 
AME18_250A_A   423          F1             47.43957      1.037         1.033         1.071         1.071        -0.069        -0.086         239           85            130.4         1.6           40.3          4.8           0.9799        0.98515       1.03495      -0.01531      -0.0045       -0.00368 
AME18_250A_B   423          F1             70.16439      1.036         1.031         1.069         1.069        -0.071        -0.087         268.1         80.1          131.9         7.2           41.1          6.8           0.98108       0.98621       1.03271      -0.01478      -0.00843      -0.00287 
AME18_272AA2   423          F1             29.62957      1.016         1.022         1.038         1.038         0.155         0.146         35.3          16.7          151.4         55.8          295.8         28.9          1.00837       0.99348       0.99815       0.01318       0.01057      -0.00036 
AME18_272AB3   423          F1             34.16112      1.004         1.004         1.008         1.008        -0.088        -0.09          221.6         7.7           335.4         71.5          129.2         16.7          1.00079       0.99965       0.99955       0.00363      -0.00112       0.00019 
AME18_284A_A   423          F1             8175.826      1.06          1.024         1.086         1.088        -0.418        -0.435         186.5         61.6          39            24.5          302.7         13.4          0.99482       0.97257       1.03261       0.01153       0.00163      -0.02748 
AME18_284A_A   423          F1             6033.119      1.05          1.039         1.091         1.091        -0.114        -0.136         152.9         73            15            12.8          282.5         11.1          0.99773       0.96241       1.03986       0.00594       0.01323      -0.01386 
AME18_284A_B   423          F1             6644.777      1.025         1.029         1.054         1.055         0.061         0.048         134.4         50.8          340.1         36.3          240.5         12.8          0.99938       0.98599       1.01463      -0.01637       0.01406      -0.0057 
AME18_284A_B   423          F1             5154.471      1.032         1.021         1.054         1.054        -0.214        -0.227         137           79.1          356.9         8.4           265.9         6.9           0.99654       0.97664       1.02683      -0.00202       0.00652      -0.00421 
AME18_284A_B   423          F1             5608.351      1.017         1.036         1.053         1.055         0.355         0.344         50            68.3          186.5         16.1          280.6         14.2          1.00579       0.97562       1.01858       0.00709       0.01261       0.00224 
AME18_284A_C   423          F1             6440.652      1.04          1.055         1.097         1.098         0.152         0.129         210           67.4          26.6          22.6          117.1         1.2           0.9976        0.96409       1.03831       0.02381      -0.00813      -0.01191 
AME18_284A_C   423          F1             6597.302      1.044         1.074         1.121         1.123         0.254         0.227         196.3         64.5          24.8          25.2          293.3         3.3           1.00524       0.95052       1.04424       0.02746      -0.00107      -0.01798 
AME18_284A_C   423          F1             6521.044      1.029         1.029         1.059         1.059        -0.005        -0.02          164.1         76.3          12.9          12.1          281.5         6.4           1.00004       0.97319       1.02677       0.00498       0.00488      -0.00707 
AME18_284A_D   423          F1             5029.939      1.029         1.032         1.062         1.062         0.054         0.039         177.4         70.9          342.1         18.5          73.7          4.7           1.00141       0.97223       1.02636      -0.0085       -0.00202      -0.00963 
AME18_284A_D   423          F1             9715.638      1.096         1.059         1.16          1.162        -0.227        -0.262         131.5         58.5          227.5         3.7           319.8         31.2          0.97472       0.98454       1.04074       0.0071        0.04725      -0.04652 
AME18_287B_A   423          F1             3422.484      1.016         1.064         1.081         1.086         0.595         0.583         316.5         71.7          178.7         13.8          85.7          11.8          1.01552       0.95753       1.02696      -0.00517      -0.01556       0.00257 
AME18_287B_A   423          F1             3499.393      1.011         1.061         1.073         1.079         0.696         0.687         263.3         70.6          358           1.6           88.5          19.3          1.0159        0.96488       1.01922      -0.00121      -0.02168      -0.00087 
AME18_287B_B   423          F1             4410.651      1.009         1.06          1.07          1.076         0.724         0.716         269.4         63.7          0.5           0.5           90.7          26.3          1.01589       0.97182       1.01228       0.00059      -0.02648       0.00024 
AME18_287B_B   423          F1             4311.819      1.012         1.063         1.075         1.081         0.676         0.666         356           33.9          198.9         53.9          93.5          10.9          1.02393       0.95856       1.01751       0.00297      -0.01151       0.00622 
AME18_287B_C   423          F1             3675.323      1.008         1.083         1.091         1.101         0.817         0.81          297.9         71.1          183.5         8             91.1          17            1.02343       0.95261       1.02396       0.00096      -0.02398       0.00157 
AME18_287B_D   423          F1             3487.488      1.017         1.047         1.065         1.068         0.453         0.44          341.9         51.3          204.3         30.6          101           21.3          1.01403       0.97199       1.01398       0.00533      -0.01771       0.01109 
AME18_287B_D   423          F1             3709.199      1.021         1.059         1.082         1.085         0.465         0.45          339.8         39.6          205.1         40.4          92.1          24.6          1.02298       0.9664        1.01062      -0.00243      -0.02516       0.01072 
AME18_287B_E   423          F1             4113.919      1.008         1.077         1.085         1.095         0.806         0.798         183.6         20.2          304.8         54.7          82.5          27.7          1.02778       0.96541       1.00682      -0.00695      -0.02989      -0.00656 
AME18_287B_E   423          F1             4587.354      1.004         1.07          1.073         1.083         0.9           0.896         349.4         0.2           259.1         59.4          79.5          30.6          1.0228        0.97346       1.00374      -0.00951      -0.02862      -0.00531 
