site number,specimen,rock type,easting,northing,L,F,P,Pj,T,max,int,min,Dmax (in-situ),Imax (in-situ),Dmin (in-situ),Imin (in-situ),e12,e23,e31,comments
cy13-190,CY13-190a-2a,gabbro,485383.2411,3862291.876,1.04721,1.0209,1.0691,1.07081,-0.380796,1143.83,1092.27,1069.9,36.8624,75.8033,-190.253,9.76808,3.81789,8.74801,2.66503,
cy13-190,CY13-190a-2b,gabbro,485383.2411,3862291.876,1.04878,1.02215,1.07202,1.0737,-0.369828,1099.26,1048.13,1025.41,29.9491,74.9151,-186.485,12.2354,3.0138,6.75826,2.08771,
cy13-190,CY13-190a-3a,gabbro,485383.2411,3862291.876,1.05225,1.02165,1.07504,1.07717,-0.407897,1196.58,1137.16,1113.06,20.1333,81.8503,187.731,7.96198,2.63609,6.47641,1.8761,
cy13-190,CY13-190a-3b,gabbro,485383.2411,3862291.876,1.04595,1.01826,1.06505,1.06705,-0.425783,1138.79,1088.76,1069.24,36.8075,80.5239,187.42,8.27476,1.89764,4.85315,1.36523,
cy13-190,CY13-190a-3c,gabbro,485383.2411,3862291.876,1.05005,1.01893,1.06992,1.07227,-0.445163,1147.49,1092.8,1072.51,30.3946,81.7066,181.327,7.2608,3.12329,8.36385,2.27894,
cy13-190,CY13-190b-1a,gabbro,485383.2411,3862291.876,1.0473,1.02787,1.07649,1.07734,-0.25412,1918.92,1832.25,1782.58,-86.3537,28.8544,33.8047,42.3584,2.83007,4.9292,1.79981,
cy13-190,CY13-190b-1b,gabbro,485383.2411,3862291.876,1.05608,1.02441,1.08186,1.08396,-0.387013,1970.84,1866.19,1821.72,-83.7422,30.9269,42.8074,44.827,1.81137,4.25705,1.27148,
cy13-190,CY13-190b-2,gabbro,485383.2411,3862291.876,1.04927,1.03398,1.08493,1.0854,-0.180003,1961.81,1869.7,1808.24,-82.5812,21.065,27.9632,42.3372,2.98632,4.47136,1.79234,
cy13-192,CY13-192a-1,gabbro,484295.3318,3862133.104,1.00587,1.01661,1.02258,1.02343,0.475731,9.60607,9.55,9.39393,34.7283,76.4923,186.14,11.9109,5.0315E-12,1.80754E-12,1.32981E-12,
cy13-192,CY13-192a-2,gabbro,484295.3318,3862133.104,1.01004,1.01711,1.02733,1.02764,0.258606,9.1751,9.08386,8.93104,-32.7826,53.4249,221.83,11.138,11.6716,7.03104,4.41598,
cy13-192,CY13-192a-3,gabbro,484295.3318,3862133.104,1.05203,1.01194,1.06459,1.06875,-0.620667,17.1599,16.3113,16.1188,259.885,42.9027,47.7864,42.3504,1.27233,5.59239,1.03715,
cy13-192,CY13-192b-1,gabbro,484295.3318,3862133.104,1.01914,1.01827,1.03776,1.03776,-0.0231992,5194.19,5096.62,5005.19,226.86,30.5137,40.7162,59.3418,7.19203,7.66902,3.7271,
cy13-192,CY13-192b-2a,gabbro,484295.3318,3862133.104,1.02774,1.02636,1.05484,1.05485,-0.0251879,5188.61,5048.54,4918.86,231.073,0.820571,-234.204,86.8885,5.02325,5.42347,2.61327,
cy13-192,CY13-192b-2b,gabbro,484295.3318,3862133.104,1.00196,1.00324,1.00521,1.00526,0.245619,811.129,809.542,806.928,234.993,21.2597,-29.3246,14.2777,32.7488,21.333,13.658,
cy13-192,CY13-192b-3,gabbro,484295.3318,3862133.104,1.0083,1.00889,1.01726,1.01726,0.0345891,1577.11,1564.14,1550.35,222.381,5.93187,129.521,25.65,5.8261,5.48541,2.83221,
cy13-193,CY13-193a-1,gabbro,484092.6664,3862380.861,1.00456,1.07574,1.08064,1.09095,0.882708,7571.51,7537.15,7006.49,1.32707,57.6417,-213.081,27.5979,11.7325,0.77042,0.723575,
cy13-193,CY13-193a-2,gabbro,484092.6664,3862380.861,1.01398,1.04246,1.05703,1.05943,0.499539,7477.9,7374.83,7074.42,30.8582,1.66537,-236.407,58.6413,3.67456,1.26229,0.939899,
cy13-193,CY13-193b-1,gabbro,484092.6664,3862380.861,1.0104,1.04252,1.05336,1.05658,0.601784,27.8016,27.5153,26.3932,-83.4657,30.9013,-210.019,44.8583,7.4235,1.90398,1.51716,
