EigenVal1	EigenVal2	EigenVal3	EigenVec1X	EigenVec1Y	EigenVec1Z	EigenVec2X	EigenVec2Y	EigenVec2Z	EigenVec3X	EigenVec3Y	EigenVec3Z
0.0313641	0.0189795	0.0145742	0.468493	0.846119	-0.25416	0.785763	-0.530571	-0.317917	0.403845	0.050768	0.913417
0.00926034	0.00744861	0.00506414	0.863407	0.210672	-0.458417	-0.207264	0.97654	0.0584104	0.459968	0.0445812	0.886816
0.00815535	0.00385101	0.00179421	0.912705	-0.408151	-0.0195654	0.403499	0.90779	-0.114479	0.0644858	0.0965905	0.993233
0.0312077	0.00506039	0.000925091	-0.094668	0.773384	0.626829	0.812045	0.424225	-0.40077	0.575866	-0.471073	0.668183
0.0265498	0.0118206	0.0090118	0.688257	0.302984	-0.659169	-0.0675816	0.931439	0.357567	0.722312	-0.201551	0.661545
0.0148702	0.0073924	0.00571779	0.698673	0.67127	0.247494	-0.422576	0.108052	0.899863	-0.577309	0.733295	-0.359156
0.0118406	0.00270129	0.00215069	0.10729	0.74406	-0.659442	-0.0376335	0.665835	0.74515	0.993515	-0.0551302	0.0994392
0.0129558	0.00960095	0.00426649	0.825424	0.396045	0.402273	-0.0260511	-0.685118	0.727966	-0.563912	0.61136	0.555195
0.0355912	0.00840064	0.0046363	0.351392	0.909656	-0.221471	0.350057	0.0917425	0.932225	0.868323	-0.405104	-0.286194
0.009722	0.00794466	0.00195171	0.80449	0.462065	-0.373219	0.452479	-0.883817	-0.118875	0.384785	0.0732396	0.920096
0.00919667	0.00428772	0.00184877	-0.588198	0.78023	-0.212753	-0.617627	-0.263561	0.740994	0.522072	0.567253	0.636918
0.0188575	0.0102007	0.00501044	0.897051	0.299213	-0.325225	-0.398891	0.864989	-0.304434	0.190225	0.402822	0.895292
0.0106324	0.00823844	0.00497021	-0.328752	0.944416	0	0.846932	0.294818	-0.442479	0.417885	0.145466	0.896779
0.0430864	0.0138394	0.00578355	-0.491746	0.647751	-0.581897	0.865642	0.435876	-0.246326	-0.0940776	0.624844	0.775061
0.0370039	0.0288232	0.00613628	-0.0924091	-0.407478	0.908527	-0.544266	0.784732	0.296597	0.833808	0.467072	0.294293
0.0553808	0.0046892	0.00373414	0.562569	0.625327	0.540815	0.697616	-0.710095	0.0953825	-0.443676	-0.323622	0.835716
0.0764911	0.0183714	0.00937398	0.963894	-0.0290197	0.264701	0.0780971	0.98114	-0.176822	-0.254577	0.19111	0.947981
0.0269049	0.00299324	0.000755964	0.00141309	0.706774	0.707438	0.998241	0.0409362	-0.0428918	-0.0592746	0.706254	-0.705473
0.0490993	0.0391389	0.0110238	0.0306424	-0.703754	0.709783	0.748916	0.486452	0.449988	0.661956	-0.517779	-0.541959
0.057497	0.00944529	0.00173987	0.877824	0.3823	0.288568	-0.464812	0.534442	0.705919	-0.11565	0.753802	-0.646844
0.101422	0.033307	0.00819836	0.656193	-0.362422	0.661862	0.630646	0.745034	-0.217279	-0.414363	0.559977	0.717446
0.0200508	0.00593057	0.00409013	0.786385	0.61637	0.0410615	-0.296494	0.318291	0.900434	-0.541932	0.720263	-0.433049
0.0293399	0.0186213	0.010566	-0.223509	0.147152	0.96353	0.78343	-0.561008	0.267409	0.579898	0.814626	0.0101077
0.0675056	0.0112589	0.00529387	-0.254933	0.673926	0.693421	0.877203	0.46291	-0.127397	0.406848	-0.575793	0.709181
0.0364975	0.0064954	0.00521644	-0.597535	-0.356325	0.718321	0.759643	0.0352306	0.649385	-0.256699	0.933698	0.249628
0.0178572	0.0112312	0.00487256	0.915686	-0.324483	-0.237129	0.173473	-0.213119	0.961503	0.362528	0.92157	0.138861
0.0121146	0.00567053	0.00284123	0.889191	-0.118234	0.441995	-0.433407	-0.527233	0.730878	-0.14662	0.841455	0.520055
0.0479383	0.0166573	0.00321342	0.765323	-0.64356	-0.0105818	0.63506	0.757687	-0.150363	0.104786	0.108356	0.988574
0.101707	0.0228537	0.019438	0.606359	-0.423158	-0.67325	0.534959	-0.409343	0.739092	0.588343	0.808317	0.0218363
0.00891504	0.00586287	0.00277773	0.767649	-0.551447	0.32653	0.623495	0.760465	-0.181513	-0.14822	0.342928	0.927594
0.0271984	0.0116774	0.00821594	0.874196	-0.290554	-0.38905	0.215316	-0.486185	0.846914	0.435224	0.824138	0.36246
0.0161088	0.00774557	0.00335383	-0.36218	-0.557099	0.747306	-0.549114	0.775369	0.311892	0.753193	0.297395	0.586734
0.0923908	0.0290917	0.00137632	0.219062	0.752684	0.620869	-0.845431	-0.171239	0.505889	0.487092	-0.635723	0.59883
0.0148332	0.00428762	0.00179423	0.46106	0.636025	-0.618786	0.78175	0.0388174	0.622383	0.419871	-0.770691	-0.479315
0.0505197	0.0192547	0.00462547	0.706952	0.526881	0.471822	-0.300624	0.827701	-0.473853	-0.640191	0.19315	0.743538
0.00741861	0.00526289	0.00328705	0.949345	-0.305713	0.0726896	0.302755	0.827897	-0.472151	0.0841631	0.470241	0.878516
0.0114263	0.00824934	0.00537025	-0.673474	0.733071	-0.0950757	-0.119714	0.0187584	0.992631	0.729453	0.679893	0.0751253
0.00795554	0.00459258	0.00200793	0.918367	-0.160296	0.361812	0.247395	0.946157	-0.208767	-0.308866	0.281235	0.908575
0.00774431	0.00543277	0.00377848	0.00187077	0.883863	-0.467742	0.816209	0.268891	0.511371	0.577754	-0.382731	-0.720914
0.00699704	0.00476405	0.00209183	0.818328	0.572114	-0.0549982	0.327473	-0.385475	0.862653	-0.472335	0.723944	0.502797
0.0728624	0.0230485	0.00683801	0.631362	0.174107	0.755691	-0.352975	0.932195	0.0801303	0.6905	0.317332	-0.650008
0.0095115	0.00527412	0.00116882	0.856386	-0.383525	0.345705	0.505633	0.758537	-0.411043	-0.104585	0.526812	0.843523
0.0328265	0.0150188	0.00432822	0.0907953	-0.414165	0.905662	0.839851	0.520556	0.153856	-0.53517	0.746652	0.395101
0.0369122	0.0100941	0.00466958	0.826086	-0.336786	-0.451837	-0.00699676	0.795587	-0.605799	0.5635	0.503604	0.654867
0.0874337	0.0122531	0.00547621	0.965688	0.259218	-0.0158704	0.152074	-0.514882	0.843664	-0.210522	0.81713	0.536636
0.636654	0.484964	0.331486	0.981453	-0.0149991	-0.191115	0.1917	0.0823277	0.977995	-0.00106507	0.996492	-0.0836761
0.0834593	0.00960422	0.00133219	-0.187338	0.568572	0.801018	0.930965	0.362924	-0.0398781	-0.313382	0.73825	-0.59731
0.0126462	0.00918225	0.00722312	0.762035	0.293364	0.57727	-0.278319	-0.656553	0.701054	-0.584673	0.694893	0.418667
0.0173711	0.00367972	0.0028597	0.651702	0.679998	-0.335987	-0.136561	0.540934	0.829905	0.74608	-0.494968	0.445389
0.0062185	0.00431445	0.00336891	0.109199	0.985878	-0.126962	0.987451	-0.122249	-0.0999802	0.114089	0.114451	0.986856
0.0160348	0.0124979	0.00454465	0.397863	-0.424398	0.813382	0.328598	0.893676	0.30556	0.856579	-0.145705	-0.495017
0.0186272	0.0100942	0.00495584	-0.567064	0.522142	-0.63703	0.487353	0.836186	0.251554	0.664022	-0.167812	-0.728638
0.478587	0.0896258	0.0370682	0.0337331	0.252497	0.96701	0.989721	0.126104	-0.0674526	-0.138976	0.959345	-0.245647
0.217089	0.0491498	0.0196739	-0.232291	0.91583	-0.327561	0.652319	0.396494	0.645966	0.721471	-0.0636221	-0.689516
